time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:08,7.393491081,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.641381756,0.89319,0.025990806,4.223462494,0
4/12/2019 13:08,7.095692584,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.638665246,0.89319,0.023274296,3.782034149,0
4/12/2019 13:08,7.501580906,ETH,DASH,Coss,Okex,0.61539095,0.905,0.640447697,0.89319,0.025056747,4.071679434,0
4/12/2019 13:08,7.543522699,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645543686,0.89319,0.030152736,4.899769199,0
4/12/2019 13:08,38.13443073,BTC,THETA,Binance,Livecoin,0.03083527,1409,0.035559534,1407.491,0.004724264,15.32097584,0
4/12/2019 13:08,3.162055336,BTC,IOST,Binance,Okex,0.5,196850.3937,0.504043898,196652.5433,0.004043898,0.808779505,0
4/12/2019 13:09,4.194857916,BTC,STORJ,Binance,Coss,0.0439605,850,0.044786412,845.65,0.000825912,1.878758772,0
4/12/2019 13:09,3.95256917,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500107734,196652.5433,0.000107734,0.021546739,0
4/12/2019 13:09,2.755905512,BTC,IOST,Kucoin,Okex,0.289264263,113483.2267,0.292980117,113368.7435,0.003715854,1.28458798,0
4/12/2019 13:11,3.156274057,ETH,IOST,Binance,Okex,3.24364176,41602,3.283512662,41559.398,0.039870902,1.229201768,0
4/12/2019 13:12,2.160101652,ETH,IOST,Kucoin,Okex,0.927976262,11791.3121,0.932267893,11778.52079,0.004291631,0.462472042,0
4/12/2019 13:12,7.716289945,ETH,DASH,Coss,Binance,0.61539095,0.905,0.643562799,0.89319,0.028171849,4.577878255,0
4/12/2019 13:12,7.644083001,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.642899816,0.89319,0.027508866,4.470144764,0
4/12/2019 13:12,7.205988323,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.640475452,0.89319,0.025084502,4.076189538,0
4/12/2019 13:12,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.642834357,0.89319,0.027443407,4.459507794,0
4/12/2019 13:12,7.543534464,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.64554382,0.89319,0.03015287,4.899790915,0
4/12/2019 13:12,3.557312253,BTC,IOST,Binance,Okex,0.5,196850.3937,0.50231888,196652.5433,0.00231888,0.463775941,0
4/12/2019 13:12,4.215003867,BTC,STORJ,Binance,Coss,0.0579376,1120,0.058713567,1115.38,0.000775967,1.3393144,0
4/12/2019 13:12,3.95256917,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500168241,196652.5433,0.000168241,0.033648208,0
4/12/2019 13:13,3.149606299,BTC,IOST,Kucoin,Okex,0.221453878,86844.6921,0.226181964,86756.84741,0.004728086,2.135020642,0
