time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 14:29,8.979543817,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651272243,0.89319,0.035881293,5.830650081
4/12/2019 14:29,8.84586538,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.650187933,0.89319,0.034796983,5.654451585
4/12/2019 14:29,8.583949764,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.648834263,0.89319,0.033443313,5.43448238
4/12/2019 14:29,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.649969159,0.89319,0.034578209,5.618901139
4/12/2019 14:29,8.440902072,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.650985785,0.89319,0.035594835,5.784101208
4/12/2019 14:32,3.765378402,ETH,IOST,Binance,Okex,1.7782668,22104,1.789227677,22080.896,0.010960877,0.6163798
4/12/2019 14:32,9.000132355,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651410034,0.89319,0.036019084,5.853040818
4/12/2019 14:32,8.939984412,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.650755756,0.89319,0.035364806,5.74672189
4/12/2019 14:32,8.611891351,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.64906827,0.89319,0.03367732,5.472508135
4/12/2019 14:32,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.649969159,0.89319,0.034578209,5.618901139
4/12/2019 14:32,8.443562405,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.651001983,0.89319,0.035611033,5.78673329
4/12/2019 14:36,4.023919273,ETH,IOST,Binance,Okex,0.9653628,12007,0.965365819,11993.993,3.02E-06,0.000312732
4/12/2019 14:36,9.060427359,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651751992,0.89319,0.036361042,5.908608421
4/12/2019 14:36,8.939984412,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.651433223,0.89319,0.036042273,5.856809104
4/12/2019 14:36,8.678068795,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.64946206,0.89319,0.03407111,5.536498451
4/12/2019 14:36,8.972190768,ETH,DASH,Coss,Okex,0.61539095,0.905,0.650009099,0.89319,0.034618149,5.625391322
4/12/2019 14:36,8.448919837,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.651040784,0.89319,0.035649834,5.793038417
4/12/2019 14:40,8.872189297,ETH,DASH,Coss,Binance,0.61539095,0.905,0.6505719,0.89319,0.03518095,5.716845538
4/12/2019 14:40,8.838953514,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.650238742,0.89319,0.034847792,5.662707963
4/12/2019 14:40,8.610420742,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.648996886,0.89319,0.033605936,5.460908396
4/12/2019 14:40,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.64914966,0.89319,0.03375871,5.485733938
4/12/2019 14:40,8.453090487,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.651055449,0.89319,0.035664499,5.79542148
4/12/2019 14:44,8.879542346,ETH,DASH,Coss,Binance,0.61539095,0.905,0.651156244,0.89319,0.035765294,5.811800505
4/12/2019 14:44,8.788805718,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.649838502,0.89319,0.034447552,5.597669596
4/12/2019 14:44,8.451594876,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.647408214,0.89319,0.032017264,5.202751895
4/12/2019 14:44,8.825129781,ETH,DASH,Coss,Okex,0.61539095,0.905,0.65004574,0.89319,0.03465479,5.631345416
4/12/2019 14:44,8.453899322,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.651062069,0.89319,0.035671119,5.796497188
4/12/2019 14:47,8.108942779,ETH,DASH,Coss,Binance,0.61539095,0.905,0.64612369,0.89319,0.03073274,4.994018896
4/12/2019 14:47,8.030853395,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.645500932,0.89319,0.030109982,4.892821724
4/12/2019 14:47,7.625112134,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.643803719,0.89319,0.028412769,4.617027375
4/12/2019 14:47,8.972190768,ETH,DASH,Coss,Okex,0.61539095,0.905,0.643800059,0.89319,0.028409109,4.616432636
4/12/2019 14:47,7.942785923,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.647962528,0.89319,0.032571578,5.292826881
4/12/2019 14:51,8.316298769,ETH,DASH,Coss,Binance,0.61539095,0.905,0.646507378,0.89319,0.031116428,5.056367494
4/12/2019 14:51,8.10761923,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.644791388,0.89319,0.029400438,4.777522039
4/12/2019 14:51,7.55893469,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.643544953,0.89319,0.028154003,4.57497832
4/12/2019 14:51,7.942763864,ETH,DASH,Coss,Okex,0.61539095,0.905,0.643820029,0.89319,0.028429079,4.619677727
4/12/2019 14:51,7.942775629,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.647962528,0.89319,0.032571578,5.292826881
4/12/2019 14:54,8.248529412,ETH,DASH,Coss,Binance,0.67048,0.986,0.706027358,0.974028,0.035547358,5.301777494
4/12/2019 14:55,8.029558824,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.704509927,0.974028,0.034029927,5.075457413
4/12/2019 14:55,7.866176471,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.703744819,0.974028,0.033264819,4.961343963
4/12/2019 14:55,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.702990394,0.974028,0.032510394,4.848823794
4/12/2019 14:55,7.941301471,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707150756,0.974028,0.036670756,5.469328757
4/12/2019 14:58,8.033823529,ETH,DASH,Coss,Binance,0.67048,0.986,0.703473539,0.974028,0.032993539,4.920883408
4/12/2019 14:58,8.028529412,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.70279209,0.974028,0.03231209,4.819247446
4/12/2019 14:58,7.544117647,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.700109865,0.974028,0.029629865,4.41920198
4/12/2019 14:58,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.701985913,0.974028,0.031505913,4.699008584
4/12/2019 14:58,7.941176471,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.70553322,0.974028,0.03505322,5.22807839
4/12/2019 15:01,7.889705882,ETH,DASH,Coss,Binance,0.67048,0.986,0.703406051,0.974028,0.032926051,4.910817735
4/12/2019 15:01,8.028529412,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702662975,0.974028,0.032182975,4.799990301
4/12/2019 15:01,7.544117647,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699357618,0.974028,0.028877618,4.307006687
4/12/2019 15:02,7.647058824,ETH,DASH,Coss,Okex,0.67048,0.986,0.701919013,0.974028,0.031439013,4.689030733
4/12/2019 15:02,7.925786765,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.70553354,0.974028,0.03505354,5.228126055
4/12/2019 15:05,7.847058824,ETH,DASH,Coss,Binance,0.67048,0.986,0.703201228,0.974028,0.032721228,4.88026898
4/12/2019 15:05,7.662794118,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702087504,0.974028,0.031607504,4.714160548
4/12/2019 15:05,7.544117647,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699264092,0.974028,0.028784092,4.293057519
4/12/2019 15:05,7.647058824,ETH,DASH,Coss,Okex,0.67048,0.986,0.701919013,0.974028,0.031439013,4.689030733
4/12/2019 15:05,7.925786765,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705533556,0.974028,0.035053556,5.228128438
4/12/2019 15:08,7.880882353,ETH,DASH,Coss,Binance,0.67048,0.986,0.703521017,0.974028,0.033041017,4.927964531
4/12/2019 15:08,7.663529412,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.70209042,0.974028,0.03161042,4.714595496
4/12/2019 15:08,7.3,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699264092,0.974028,0.028784092,4.293057519
4/12/2019 15:09,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.701978923,0.974028,0.031498923,4.697966122
4/12/2019 15:09,7.925788235,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705533659,0.974028,0.035053659,5.22814393
4/12/2019 15:12,7.873529412,ETH,DASH,Coss,Binance,0.67048,0.986,0.703774011,0.974028,0.033294011,4.965697802
4/12/2019 15:12,7.663823529,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702094967,0.974028,0.031614967,4.715273667
4/12/2019 15:12,7.491176471,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.700582394,0.974028,0.030102394,4.48967808
4/12/2019 15:12,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.701995299,0.974028,0.031515299,4.700408462
4/12/2019 15:12,7.925789706,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705534003,0.974028,0.035054003,5.22819517
4/12/2019 15:16,8.011764706,ETH,DASH,Coss,Binance,0.67048,0.986,0.705038981,0.974028,0.034558981,5.154364155
4/12/2019 15:16,7.991911765,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.704484654,0.974028,0.034004654,5.071688012
4/12/2019 15:16,7.567647059,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.702272838,0.974028,0.031792838,4.741802579
4/12/2019 15:16,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.703864147,0.974028,0.033384147,4.979141387
4/12/2019 15:16,7.925789706,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707047553,0.974028,0.036567553,5.453936412
4/12/2019 15:19,7.947058824,ETH,DASH,Coss,Binance,0.67048,0.986,0.705244711,0.974028,0.034764711,5.185048134
4/12/2019 15:19,8.110294118,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.7053012,0.974028,0.0348212,5.193473323
4/12/2019 15:19,7.692647059,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.702627264,0.974028,0.032147264,4.794664132
4/12/2019 15:20,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.704836714,0.974028,0.034356714,5.124196714
4/12/2019 15:20,7.925792647,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707047854,0.974028,0.036567854,5.453981334
