time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 19:54,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.500406993,192114.3846,0.000406993,0.081398595
4/12/2019 19:54,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.502508613,192114.3846,0.002508613,0.501722681
4/12/2019 19:55,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082296326,31531.1595,0.083815867,31498.62834,0.001519541,1.846425969
4/12/2019 19:58,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.500412732,192114.3846,0.000412732,0.082546291
4/12/2019 19:58,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.505317904,192114.3846,0.005317904,1.063580728
4/12/2019 19:58,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082262081,31518.0386,0.084125963,31485.52056,0.001863882,2.265785553
4/12/2019 20:01,4.247104247,BTC,IOST,Binance,Bittrex,0.5,192329.6846,0.503816927,192136.3549,0.003816927,0.763385365
4/12/2019 20:02,3.846153846,BTC,IOST,Kucoin,Bittrex,0.06712428,25718.1151,0.068768717,25691.39698,0.001644436,2.449838315
4/12/2019 20:04,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.500421728,192114.3846,0.000421728,0.084345648
4/12/2019 20:05,4.230769231,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.503761858,192114.3846,0.003761858,0.752371547
4/12/2019 20:05,3.831417625,BTC,IOST,Kucoin,Bittrex,0.06712428,25718.1151,0.068324459,25691.39698,0.001200179,1.78799457
4/12/2019 20:08,32.15223097,BTC,THETA,Binance,Livecoin,0.03259549,1429,0.035795175,1427.471,0.003199685,9.816342943
4/12/2019 20:08,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.50047122,192114.3846,0.00047122,0.094243958
4/12/2019 20:08,3.846153846,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.504193437,192114.3846,0.004193437,0.838687424
4/12/2019 20:09,3.448275862,BTC,IOST,Kucoin,Bittrex,0.06712428,25718.1151,0.06832346,25691.39698,0.00119918,1.786506229
4/12/2019 20:12,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.500412732,192114.3846,0.000412732,0.082546291
4/12/2019 20:12,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.504162678,192114.3846,0.004162678,0.832535659
4/12/2019 20:13,3.0651341,BTC,IOST,Kucoin,Bittrex,0.067108816,25712.19,0.068561862,25685.47781,0.001453046,2.165208363
4/12/2019 20:16,3.0651341,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.505314402,192114.3846,0.005314402,1.062880338
4/12/2019 20:17,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082144604,31517.1449,0.08378057,31484.62776,0.001635965,1.991567585
4/12/2019 20:20,0.769230769,BTC,IOST,Binance,Okex,0.5,192307.6923,0.500418426,192114.3846,0.000418426,0.0836852
4/12/2019 20:20,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.502493567,192114.3846,0.002493567,0.498713428
4/12/2019 20:21,3.0651341,BTC,IOST,Kucoin,Bittrex,0.052229734,20011.4591,0.053083112,19990.44764,0.000853378,1.633892228
4/12/2019 20:23,3.461538462,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.502493567,192114.3846,0.002493567,0.498713428
4/12/2019 20:24,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082223438,31503.2328,0.083743554,31470.72957,0.001520117,1.848763283
4/12/2019 20:27,1.158301158,BTC,IOST,Binance,Okex,0.5,193050.1931,0.501558797,192856.1429,0.001558797,0.311759421
4/12/2019 20:27,2.3158694,BTC,STORJ,Binance,Coss,0.03777248,718,0.037825561,713.782,5.30806E-05,0.140527049
4/12/2019 20:27,3.861003861,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.504422376,192856.1429,0.004422376,0.884475183
4/12/2019 20:28,3.461538462,BTC,IOST,Kucoin,Bittrex,0.082166829,31525.6929,0.083803313,31493.16721,0.001636484,1.991659975
4/12/2019 20:30,1.158301158,BTC,IOST,Binance,Okex,0.5,193050.1931,0.500383192,192856.1429,0.000383192,0.076638392
4/12/2019 20:30,3.474903475,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.509271286,192856.1429,0.009271286,1.854257217
4/12/2019 20:31,3.076923077,BTC,IOST,Kucoin,Bittrex,0.082166829,31525.6929,0.084305208,31493.16721,0.002138379,2.602484757
4/12/2019 20:34,3.461538462,BTC,IOST,Binance,Bittrex,0.2204072,84772,0.223330981,84686.228,0.002923781,1.326535886
4/12/2019 20:35,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082296551,31531.2454,0.083816096,31498.71416,0.001519545,1.846426227
